original_name,french_name,RICname
"""inter-presidency trade"" (british west indies)",Antilles britanniques (Inter-Presidency Trade),British West Indies
a l'aventure,A l'Aventure (Montréal),Quebec (Lower Canada)
abisinia,Abyssinie,Ethiopia (Abyssinia)
abyssinia,Abyssinie,Ethiopia (Abyssinia)
abyssinie,Abyssinie,Ethiopia (Abyssinia)
achem,Achem,Aceh
açores,Açores,Azores (Western Isles)
aden,Aden,Aden
aden (arabia),Aden,Aden
aden and dependencies,Aden et dépendances,Aden & Aden Dependencies
aden and dpendencies,Aden et dépendances,Aden & Aden Dependencies
afghanistan,Afghanistan,Afghanistan
afghanistan-beloutchistan,Afghanistan et Baloutchistan,Afghanistan & Baluchistan (Kalat)
africa,Afrique,Africa
africa - east coast,Afrique orientale,East Africa
africa - occidental coast,Afrique occidentale,West Africa
africa - west coast,Afrique occidentale,West Africa
africa (east coast),Afrique orientale,East Africa
africa (foreign),Afrique (étrangère),Africa (other)
africa (west coast),Afrique occidentale,West Africa
africa east coast,Afrique orientale,East Africa
africa et tacna (chile),Chili (Arica et Tacna),Arica & Tacna
africa generally,Afrique (Autre),Africa (other)
africa- oriental coast,Afrique orientale,East Africa
africa ports on the red sea,Afrique (Ports de la Mer Rouge),Red Sea Ports in Africa
africa west coast,Afrique occidentale,West Africa
"africa, coast of",Côte d'Afrique,Africa Coast
"africa, east coast",Afrique orientale,East Africa
"africa, including cape of good hope",Afrique et Colonie du Cap,Africa & Cape Colony
"africa, west coast",Afrique occidentale,West Africa
african countries,Afrique,Africa
african ports on the rde sea,Afrique (Ports de la Mer Rouge),Red Sea Ports in Africa
afrique,Afrique,Africa
afrique - occidental coast,Afrique occidentale,West Africa
afrique (côte d'),Côte d'Afrique,Africa Coast
afrique (côte occidentale),Afrique occidentale,West Africa
afrique (côtes),Côte d'Afrique,Africa Coast
afrique britan.,Afrique britannique,British Africa
afrique britannique,Afrique britannique,British Africa
afrique du sud,Afrique du Sud,South Africa
afrique du sud britannique,Afrique du Sud britannique,British South Africa
afrique equatoriale française,Afrique-Equatoriale française,French Equatorial Africa
afrique et açores,Afrique et Açores,Africa & Azores (Western Isles)
afrique et iles,Afrique,Africa
afrique occidentale,Afrique occidentale,West Africa
afrique occidentale française,Afrique occidentale française,French West Africa
afrique orientale,Afrique orientale,East Africa
afrique sud,Afrique du Sud,South Africa
afrique**,Afrique,Africa
"afrique, cap bonne espérance",Colonie du Cap,Cape Colony
ah,Autriche-Hongrie,Austria-Hungary
alaska,Alaska,Alaska
albanie,Albanie,Albania
albanie (scutari),Albanie (Shkodër),Shkodër
"alemagne, belgique, hollande",Allemagne et Belgique et Pays-Bas,Belgium & Germany & Netherlands
alemania,Allemagne,Germany
alep,Turquie (Alep),Aleppo
alexandre,Egypte (Alexandrie),Alexandria
