Polity Federico-Tena,ricname,rictype,cow,new,continent,part_of_country
Abu Dhabi,Abu Dhabi,country,6961,x,Asia,
Aden,Aden,country,,,,
Afghanistan,Afghanistan,country,,,,
Ajman  ,Ajman,country,6965,x,Asia,
Albania,Albania,country,,,,
Algeria,Algeria,country,,,,
Andorra,Andorra,country,,,,
Angola (Portuguess Africa),Angola,country,,,,
Argentina,Argentina,country,,,,
Australia,Australia,country,,,,
Austria,Austria,country,,,,
Austria-Hungary,Austria-Hungary,country,,,,
Bahamas,Bahamas,country,,,,
Bahrain,Bahrain,country,,,,
Barbados,Barbados,country,,,,
Basutoland ,Lesotho (Basutoland),country,,,,
Bechuanaland Protectorate,Botswana (Bechuanaland),country,,,,
Belgium,Belgium,country,,,,
Belgium Congo (Zaire),Zaire (Kinshasa) (Belgian Congo),country,,,,
Bermuda,Bermuda,country,,,,
Bhutan,Bhutan,country,760,x,Asia,
Bolivia,Bolivia,country,,,,
Brasil,Brazil,country,,,,
British Bechuanaland,Botswana (Bechuanaland),country,,,,
British Cameroon,British Cameroons,country,,,,
British East Africa (Kenia & Uganda),Kenya (British East Africa Protectorate) & Uganda,country,,,,
British Guiana,Guyana (Br. Guiana),country,,,,
British Honduras (Belize),Belize (British Honduras),country,,,,
British Malaya,Malaysia (Malaya),country,,,,
British settlement Oceania,British Settlement in Oceania,colonial_area,,x,Oceania,United Kingdom
British Somaliland,British Somaliland (Somaliland Republic),country,,,,
Brunei,Brunei,country,,,,
Bukhara,Bokhara,country,,,,
Bulgaria,Bulgaria,country,,,,
Cabo Verde (Portuguese Africa),Cape Verde,country,,,,
Camerun,Kamerun,country,,,,
Canada,Canada,country,,,,
Canary Island (Spanish Africa),Canary Is.,country,,,,
Ceuta Y Melilla,Ceuta & Melilla,country,,x,Europe,
Ceylon (Sri Lanka),Sri Lanka (Ceylon),country,,,,
Chile,Chile,country,,,,
China,China (People's Republic of China),country,,,,
Colombia,Colombia (Gran Colombia),country,,,,
Costa Rica,Costa Rica,country,,,,
Crete,Crete,country,,,,
Cuba,Cuba,country,,,,
Cyprus,Cyprus,country,,,,
Czechoslowakia,Czechoslovakia,country,,,,
Danish India,Nicobar Is. & Tranquebar and Serampore,group,,x,Asia,
Danish Virgin Island,St. Croix & St. Jan & St. Thomas,group,,,,
Denmark,Denmark,country,,,,
Dodecanese Is.,Dodecanese Is. (Aegean Is.),country,,,,
Dominican Republic,Dominican Republic (Santo Domingo),country,,,,
Dubai,Dubai,country,6962,x,Asia,
Duch Antilles,Netherlands Antilles,country,,,,
Dutch East Indies (Indonesia),Indonesia (Dutch East Indies),country,,,,
Dutch new Guinea,West Irian (Dutch New Guinea),country,,,,
Ecuador,Ecuador,country,,,,
Egypt,Egypt/United Arab Republic,country,,,,
El Salvador,El Salvador,country,,,,
Eritrea,Eritrea,country,,,,
Estonia,Estonia,country,,,,
Ethiopia,Ethiopia (Abyssinia),country,,,,
Falkland Islands,Falkland Is.,country,,,,
Faroe Is,Faeroe Is.,country,,,,
Finland,Finland,country,,,,
Formosa (Taiwan),Republic of China (Taiwan) (Formosa),country,,,,
France,France,country,,,,
French Equatorial Africa-Congo-Final,Congo (Brazzaville) (French Congo) (Middle Congo),country,,,,
French Guiana (French Colonies),French Guyana,country,,,,
French India,French India,country,,,,
French Indochina,French Indochina,country,,,,
French Polinesia,French Polynesia,country,960,x,Oceania,
French Somalia,Djibouti (Afar and Issas) (French Somaliland),country,,,,
French West Africa & Togo,French West Africa & Togo (French Togoland),group,,x,Africa,
Fujairah,Fujairah,country,6968,x,Asia,
Gambia,Gambia,country,,,,
German colonies Oceania,German Oceania,colonial_area,,,,
German South West Africa,South West Africa (German West Africa) (Namibia),country,,,,
Germany/Zollverein,Germany,country,,,,
Ghana-Gold Coast,Ghana (Gold Coast),country,,,,
Gibraltar,Gibraltar,country,,,,
Granada (Winward Island),Grenada,country,,,,
Greece,Greece,country,,,,
Guadalupe (French Colonies),Guadeloupe,country,,,,
Guatemala,Guatemala,country,,,,
Guinea Bissau (Portuguese Africa),Guinea-Bissau (Portuguese Guinea),country,,,,
Haiti,Haiti,country,,,,
Hawai,Hawaii,country,,,,
Honduras,Honduras,country,,,,
Hong-Kong,Hong Kong,country,,,,
Hungary,Hungary,country,,,,
Iceland,Iceland,country,,,,
India,India,country,,,,
Ionian islands,Ionian Is.,country,,,,
Iraq,Iraq (Mesopotamia),country,,,,
Ireland,Ireland,country,,,,
Italia Somalia,Italian Somaliland,country,,,,
Italian Libia Cyrenaica,Libya (Tripolitania Cyrenaica Fezzan),country,,,,
Italy,Italy,country,,,,
Jamaica,Jamaica,country,,,,
Japan,Japan,country,,,,
Khiva,Khiva,country,,,,
Kiautchou,Kiauchau,country,,,,
Kokand,Kokand,country,,,,
Korea,Korea (Chosen),country,,,,
Kuwait,Kuwait,country,,,,
Kwang-Chou-Wan,Kwanchowan,country,,,,
Kwantung (Port Arthur),Kwangtung Territory (Leased),country,,,,
Latvia,Latvia,country,,,,
"Leward Island (L.I Antigua, L.I Dominica, L.I St.Christopher, Montserrat, Nevis, Virgin Island)",Antigua and Barbuda & Dominica & St. Kitts-Nevis & Montserrat & Virgin Islands (Danish West Indies),group,,x,America,
Liberia,Liberia,country,,,,
Lithuania,Lithuania,country,,,,
Luxembourg,Luxembourg,country,,,,
Macao,Macao,country,,,,
Madagascar,Malagasy Republic (Madagascar),country,,,,
Malawi,Malawi (Nyasaland),country,,,,
Maldive,Maldive Islands,country,,,,
Malta,Malta,country,,,,
Manchukuo,Manchuria,country,,,,
Marocco,Morocco,country,,,,
Martinique (French Colonies),Martinique,country,,,,
Mauritius,Mauritius,country,,,,
Mexico,Mexico,country,,,,
Monaco,Monaco,country,,,,
Mongolia,Mongolia,country,,,,
Montenegro,Montenegro,country,,,,
Mozambique (Portuguese Africa),Mozambique,country,,,,
Nepal,Nepal,country,790,x,Asia,
Netherlands,Netherlands,country,,,,
New Foundland,Newfoundland,country,,,,
New Zeland,New Zealand,country,,,,
Nicaragua,Nicaragua,country,,,,
Nigeria,Nigeria,country,,,,
North Yemen ,Yemen People's Republic,country,680,x,Asia,
Norway,Norway,country,,,,
Oman,Oman,country,,,,
Ottoman Empire/Turkey,Turkey,country,,,,
Palestine ,Palestine,country,,,,
Panama,Panama,country,,,,
Paraguay,Paraguay,country,,,,
Persia (Iran),Iran (Persia),country,,,,
Peru,Peru,country,,,,
Philippines,Philippines,country,,,,
Poland,Poland,country,,,,
Portugal,Portugal,country,,,,
Portuguese India,Portuguese India (incl. Goa Diu Daman),country,,,,
Puerto Rico,Puerto Rico,country,,,,
Quatar,Qatar,country,694,x,Asia,
Ras al Khaimah  ,Ras al Khaimah,country,6967,x,Asia,
Reunion,Reunion,country,,,,
Rodhesia,Zimbabwe (Rhodesia) (Southern Rhodesia),country,,,,
Romania,Romania,country,,,,
Russia/USSR,Russia/USSR,country,,,,
Rwanda and Burundi,Rwanda-Urundi,country,515,x,Africa,
S.Tome e Principe (Portuguess Africa),Sao Tome-Principe,country,,,,
Sabah (British Borneo),Sabah (North Borneo),country,,,,
Sarawak,Sarawak,country,,,,
Saudi Arabia,Saudi Arabia (Nejd Wahabbid Empire),country,670,x,Asia,
Serbia/Yugoslavia,Yugoslavia/Serbia,country,,,,
Seychelles,Seychelles,country,,,,
Sharjah  ,Sharjah,country,6963,x,Asia,
Siam (Thailand),Thailand (Siam),country,,,,
