COW_code,COW_name,start_year,end_year,link_type,sovereign_COW_code,sovereign_COW_name
720,Hong Kong,1997,1997,Became part of,710,China
3451,Serb Republic of Krajina,1995,1995,Became part of,344,Croatia
566,Transkei,1994,1994,Became part of,560,South Africa
567,Bophuthatswana,1994,1994,Became part of,560,South Africa
568,Venda,1994,1994,Became part of,560,South Africa
569,Ciskei,1994,1994,Became part of,560,South Africa
315,Czechoslovakia,1993,1993,Became part of,316,Czech Republic
7712,Tin Bigha,1992,1993,Leased to,771,Bangladesh
9102,Bougainville,1992,1993,Became part of,910,Papua New Guinea
6971,Abu Musa I.,1992,1993,,,#N/D
3452,Serb Republic of Bosnia,1992,1992,Became part of,346,Bosnia and Herzegovina
1152,Free Surinam,1991,1993,Became part of,115,Suriname
6452,Iraq Occupation Zone,1991,1993,Became part of,645,Iraq
6454,Kurdistan Occupation Zone,1991,1993,Became part of,645,Iraq
6453,Iraq-Kuwait Demilitarized Zone,1991,1993,Became neutral or demilitarized zone of,645,Iraq
3591,Transdniestria,1991,1992,Became part of,359,Moldova
3721,Abkhazia,1991,1992,Became part of,372,Georgia
3722,South Ossetia,1991,1992,Became part of,372,Georgia
3712,Republic of Karabakh,1991,1992,Became part of,373,Azerbaijan
6452,Iraq Occupation Zone,1991,1991,Occupied by,2,United States of America
6454,Kurdistan Occupation Zone,1991,1991,Occupied by,2,United States of America
3451,Serb Republic of Krajina,1991,1991,Became part of,344,Croatia
680,Yemen People's Republic,1990,1994,Became part of,679,Yemen
6800,Socotra I.,1990,1993,Became Possession of,679,Yemen
678,Yemen Arab Republic,1990,1993,Became part of,679,Yemen
2601,West Berlin,1990,1993,Became part of,255,Germany
690,Kuwait,1990,1991,Occupied by,645,Iraq
3376,Nakhichevan,1990,1991,Became part of,365,Russia
245,Bavaria,1990,,Became part of,255,Germany
269,Saxony,1990,,Became part of,255,Germany
267B,Baden-Wuerttemburg,1990,,Became part of,255,Germany
275H,Hesse,1990,,Became part of,255,Germany
280M,Mecklenburg,1990,,Became part of,255,Germany
