RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
Perak,country,Asia,8201,Perak,,Q188953,4.75,101
Afghanistan & Baluchistan (Kalat),group,Asia,,Afghanistan_BaluchistanKalat,,,31.0,66.0
St. Kitts-Nevis,country,America,60,St.Kitts-Nevis,,Q763,17.33,-62.666667
Heligoland,country,Europe,2249,Heligoland,,Q3038,54.1825,7.8852777778
Jakarta (Batavia) & Java & Sumatra,group,Asia,,JakartaBatavia_Java_Sumatra,,,,
Casablanca,city/part_of,Africa,,Casablanca,Morocco,,,
Lübeck,country,Europe,276,Lubeck,,Q2843,53.8697222222,10.6863888889
Greece & Russia/USSR & Turkey,group,World,,Greece_RussiaUSSR_Turkey,,,46.5,53.0
Oceania (other),geographical_area,Oceania,,Oceaniaother,,,,
Chios,city/part_of,Europe,,,Greece,,,
Falkland Is. & Uruguay,group,America,,FalklandIs._Uruguay,,,-42.24166666665001,-57.825
Penon de Velez,country,Africa,6065,,,Q191146,35.1731111111,-4.3001944444
Ningbo,city/part_of,Asia,,Ningbo,China (People's Republic of China),,,
Perim I.,country,Asia,6802,PerimI.,,Q1160017,12.65975,43.421092
British West Indies (other),colonial_area,America,,,United Kingdom,,,
Dominica,country,America,54,Dominica,,Q784,15.416667,-61.333333
Cape Colony & Mauritius & New South Wales,group,World,,CapeColony_Mauritius_NewSouthWales,,,-28.4,74.16666666666667
Palembang,country,Asia,8537,Palembang,,Q8131,-2.9833333333,104.7644444444
Senegal & French West Africa,group,Africa,,,,,14.4296465,-9.9721255
French America Free Zone,colonial_area,America,,,France,,,
Africa Ports (other) & Asia Ports (other),geographical_area,World,,,,,,
Scotland,city/part_of,Europe,,Scotland,United Kingdom,,,
British Central America,colonial_area,America,,,United Kingdom,,,
Brunswick,country,Europe,244,Brunswick,,Q326029,52.269167,10.521111
Aden & India,group,Asia,,Aden_India,,,17.4,61.01666666664999
Patagonia,city/part_of,America,,Patagonia,Chile,,,
Lübeck & Mecklenburg Schwerin & Other countries,group,World,,Lubeck_MecklenburgSchwerin_Othercountries,,,53.7492761111,11.05012944445
Syria & Lebanon,group,Asia,,Syria_Lebanon,,,34.525000000000006,37.175
Netherlands,country,Europe,210,Netherlands,,Q55,52.3166666667,5.55
World (via Germany (lower Elbe)),geographical_area,World,,WorldviaGermanylowerElbe,,,,
Canary Is. & Spain,group,World,,CanaryIs._Spain,,,34.268,-9.3745
Uzbekistan,country,Asia,704,Uzbekistan,,Q265,41,66
Central America & Guatemala,geographical_area,America,,,,,,
Equatorial Guinea (Spanish Guinea),country,Africa,411,,,Q1232509,1.5833333333,10.35
Kaliningrad (Königsberg),city/part_of,Europe,,KaliningradKönigsberg,Prussia,,,
Kingdom of Sardinia & Genoa,group,Europe,,KingdomofSardinia_Genoa,,,40.072,8.98
Assam & Bengal & Bihar & Odisha,group,Asia,,Assam_Bengal_Bihar_Odisha,,,26.0,93.0
Koszalin & Stralsund & Szczecin,group,Europe,,Koszalin_Stralsund_Szczecin,,,,
Genoa & Trieste,group,Europe,,Genoa_Trieste,,,45.6361111111,13.8041666667
Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,group,America,,CostaRica_ElSalvador_Guatemala_Honduras_Nicaragua,,,13.168801932529613,-86.8299249464832
Hawaii,country,America,4,Hawaii,,Q782,21.3113888889,-157.7963888889
French Polynesia,country,Oceania,960,,,Q30971,-17.5333333333,-149.5666666667
British Antilles,colonial_area,America,,BritishAntilles,United Kingdom,,,
Java & Maluku Islands (Mollucas),group,Asia,,Java_MalukuIslandsMollucas,,,,
Bavaria & Frankfurt & Saxony,group,Europe,,Bavaria_Frankfurt_Saxony,,,49.972685185166675,11.156574074066667
Macao,country,Asia,721,Macao,,Q14773,22.1666666667,113.55
Malacca,country,Asia,8271,Malacca,,Q185221,2.2,102.251
Arabia (sea) & Persian Gulf Ports,group,Asia,,,,,,
Sambas,country,Asia,8525,Sambas,,Q14164,1.41667,109.33333
Amsterdam,city/part_of,Europe,,Amsterdam,Netherlands,,,
Vietnam,country,Asia,815,Vietnam,,Q881,16,108
Antilles & Other countries,geographical_area,World,,Antilles_Othercountries,,,,
Hejaz Sultanate,country,Asia,671,,,Q956357,21.4225,39.82611111
Sweden & Swedish Colonies,group,World,,Sweden_SwedishColonies,,,61.0,14.999999999999998
Oman (Muscat and Oman) & United Arab Emirates (Trucial Oman),group,Asia,,,,,22.641666666650003,54.49999999999999
North-West America (other),geographical_area,Africa,,North-WestAmericaother,,,,
Portugal & Portuguese Colonies,group,World,,Portugal_PortugueseColonies,,,38.7,-9.1833333333
Cape Breton I.,country,America,1021,,,Q188489,46.1666666667,-60.75
China (People's Republic of China) & India & Singapore,group,Asia,,ChinaPeople'sRepublicofChina_India_Singapore,,,19.433333333333334,94.6
British Kaffraria,country,Africa,5614,BritishKaffraria,,Q918121,-32.88333333,27.4
