original_name,RICname
",,direction inconnue""",Unknown
",,pour ordre""",***NA
"""inter-presidency trade""",Leeward Is.
"""inter-presidency trade"" (british west indies)",Leeward Is.
(estados unidos y zona) zona del canal,Panama Canal Zone
(neu-granada) columbia,Colombia (New Granada) (Gran Colombia)
a bordo,***NA
a l'aventure,Quebec (Lower Canada)
a la orden,***NA
a travers la russie,World (via Russia)
a.o.f,French West Africa
a.o.f.,French West Africa
abd,United States of America
abesinija,Ethiopia (Abyssinia)
abessinië,Ethiopia (Abyssinia)
abessinien,Ethiopia (Abyssinia)
abessinien & italienisch afrika,Ethiopia (Abyssinia) & Italian Africa
abesszinia,Ethiopia (Abyssinia)
abisinia,Ethiopia (Abyssinia)
abisinija,Ethiopia (Abyssinia)
abisynja,Ethiopia (Abyssinia)
abyssinia,Ethiopia (Abyssinia)
abyssinie,Ethiopia (Abyssinia)
achem,Aceh
acores,Azores (Western Isles)
açores,Azores (Western Isles)
açȏres,Azores (Western Isles)
aden,Aden
aden (arabia),Aden
aden and dependencies,Aden & Aden Dependencies
aden and dpendencies,Aden & Aden Dependencies
aden e stabilimenti dello stretto,Aden & Straits Settlements
aden et colonies anglaises,Aden & British Colonies (other)
"aden, bahrein usw.",Aden & Bahrain
"aden, enz.",Aden & World (other)
"aden, perim, etc.",Aden & Perim I.
aden'as,Aden
adena,Aden
aegypten,Egypt Arab Republic (Egypt)
ægypten,Egypt Arab Republic (Egypt)
ægypten og algier,Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt)
"aegypten, algier, tripolis, tunis und marocco",Barbary Coast & Egypt Arab Republic (Egypt)
"aegypten, tripolis, tunis und algier",Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis)
afganistan,Afghanistan
afganistana,Afghanistan
afghanistan,Afghanistan
afghanistan-beloutchistan,Afghanistan & Baluchistan (Kalat)
afr. olasz birtok,Italian Africa
africa,Africa
africa - east coast,Eastern Africa
africa - occidental coast,Western Africa
africa - possessoes belgas,Belgian Africa
africa - possessoes britannicas,British Africa
africa - possessoes francezas,French Africa
africa - possessoes hespanholas,Spanish Africa
africa - possessoes italianas,Italian Africa
africa - possessoes portuguezas,Portuguese Africa
africa - west coast,Western Africa
africa (british),British Africa
africa (east coast),Eastern Africa
africa (foreign),Africa (other)
africa (non british),Africa (other)
africa (other),Africa (other)
africa (p.n.e.),Africa (other)
africa (west coast),Western Africa
africa alemana,German Africa
africa austral,Southern Africa
africa austral inglesa,South Africa
africa belga,Belgian Africa
africa british east,British Eastern Africa
africa del sur,South Africa
africa diversas origens,Africa (other)
africa east and west (portuguese),Portuguese Africa
africa eq. occ. britannica,British Equatorial Western Africa
africa eq. occ. francese,French Equatorial Western Africa
africa eq. occ. portoghese,Portuguese Equatorial Western Africa
africa eq. occ. spagnola,Equatorial Guinea (Spanish Guinea)
africa eq. or. britannica,British Equatorial Eastern Africa
africa equatorial franc,French Equatorial Africa
africa equatorial francesa,French Equatorial Africa
áfrica equatorial francesa,French Equatorial Africa
africa espanola,Spanish Africa
africa española,Spanish Africa
africa et tacna (chile),Arica & Tacna
africa francesa,French Africa
africa francesas,French Africa
africa generally,Africa (other)
africa inglesa,British Africa
africa inglesa del sur,South Africa
africa italiana,Italian Africa
africa merid. britannica,South Africa
africa merid. francese,French Southern Africa
africa merid. portoghese,Portuguese Southern Africa
áfrica meridional británica,South Africa
africa meridionale britannica,South Africa
africa meridonal inglesa,South Africa
africa occidental francesa,French West Africa
africa oriental inglesa,British Eastern Africa
africa portoghese,Portuguese Africa
africa ports on the red sea,Red Sea (Africa)
africa portughese,Portuguese Africa
africa portuguesa,Portuguese Africa
africa spagnola,Spanish Africa
africa tedesca,German Africa
africa union of south,South Africa
africa- oriental coast,Eastern Africa
africa-diversas possessoes britannicas,British Africa
africa-diversas possessoes francezas,French Africa
africa-diversas possessoes hespanholas,Spanish Africa
africa-diversas possessoes portuguezas,Portuguese Africa
"africa, coast of",Africa Coast
"africa, east coast",Eastern Africa
"africa, including cape of good hope",Africa & Cape Colony (Cape of Good Hope)
"africa, other",Africa (other)
"africa, west coast",Western Africa
african,British Africa
african countries,Africa
african islands,African Islands
african ports on the rde sea,Red Sea (Africa)
african possessions,British Africa
afrik'as westküste un den canarien,Canary Is. & Western Africa
afrika,Africa
afrika (oostkust),Eastern Africa
afrika (westkust),Western Africa
afrika forøvrigt,Africa (other)
"afrika, belgijas kolonija",Belgian Africa
"afrika, frar. middelhavsl.",Mediterranean Sea (Africa)
"afrika, holandes kol",Dutch Africa
"afrika, italijas kolonija",Italian Africa
"afrika, kina og australien",Africa & Australia & People's Republic of China (China)
"afrika, portugales kol",Portuguese Africa
"afrika, portugales kolonija",Portuguese Africa
afrika's ostküste,Eastern Africa
afrika's ostküste und dem caplande,Cape Colony (Cape of Good Hope) & Eastern Africa
afrika's ostküste und den inseln,Eastern Africa
afrika's ostküste und mauritius,Eastern Africa & Mauritius
afrika's westküste,Western Africa
afrika's westküste u. azoren,Azores (Western Isles) & Western Africa
afrika's westküste und den inseln,Western Africa
afrikai angol gyarmatok,British Africa
afrikai brit birtokok,British Africa
afrikai brit gyarmat,British Africa
afrikai brit gyarmatok,British Africa
afrikai franczia gy,French Africa
afrikai franczia gyarmatok,French Africa
afrikai német birtok,German Africa
afrikai német birtokok,German Africa
afrikai német gy,German Africa
afrikai német gyarmatok,German Africa
afrikai olasz birtok,Italian Africa
afrikai olasz birtokok,Italian Africa
afrikai olasz gy,Italian Africa
afrikai olasz gyarmatok,Italian Africa
afrikai portugál birt.,Portuguese Africa
afrikai portugál birtokok,Portuguese Africa (other)
afrikai portugál gy,Portuguese Africa
afrikai portugál gyarmatok,Portuguese Africa
afrikai spanyol birt.,Spanish Africa
afrikai spanyol gy,Spanish Africa
afrikai spanyol gyarmatok,Spanish Africa
afrikanske og asiatiske havne ved middelhavet og det sorte hav,Black Sea (Asia) & Mediterranean Sea (Africa) & Mediterranean Sea (Asia)
afrique,Africa
afrique - occidental coast,Western Africa
afrique (côte d'),Africa Coast
afrique (côte occidentale),Western Africa
afrique (côtes),Africa Coast
afrique allemande,German Africa
afrique anglaise,British Africa
afrique anglaise est,British Eastern Africa
afrique anglaise ouest,British Western Africa
afrique anglaise sud,South Africa
afrique australe,Southern Africa
afrique australe britannique,South Africa
"afrique australe, reste de l'afrique",Southern Africa (other)
afrique britan.,British Africa
afrique britannique,British Africa
afrique du sud,South Africa
afrique du sud britannique,South Africa
afrique du sud-ouest,Namibia (South West Africa) (German South West Africa)
afrique equat franc,French Equatorial Africa
