RICname,type,continent,GPH_code,slug,parent_entity
***NA,,,,NOTAVAILABLE,
A Coruna,locality,Europe,,ACoruna,Spain
Accra,locality,Africa,,,Ghana (Gold Coast)
Aceh,GPH_entity,Asia,8531,Aceh,
Adana,locality,Asia,,,Turkey (Ottoman Empire)
Adana & Tarsus,group,Asia,,,
Addah,locality,Africa,,,Ivory Coast
Adelaide,locality,Oceania,,,South Australia
Aden,GPH_entity,Asia,681,Aden,
Aden & Aden Dependencies,group,Asia,,,
Aden & Algeria (Regency of Algiers) & Asian Turkey & Egypt Arab Republic (Egypt) & Iran (Persia),group,World,,Aden_Algeria (Regency of Algiers)_AsianTurkey_EgyptArabRepublicEgypt_IranPersia,
Aden & Algeria (Regency of Algiers) & Turkey (Ottoman Empire) & Egypt Arab Republic (Egypt) & Iran (Persia) & Morocco,group,World,,Aden_Algeria (Regency of Algiers)_AsianTurkey_EgyptArabRepublicEgypt_IranPersia_Morocco,
Aden & Arabia,group,Asia,,,
Aden & Asian Turkey & Egypt Arab Republic (Egypt),group,World,,Aden_AsianTurkey_EgyptArabRepublicEgypt,
Aden & Bahrain,group,Asia,,,
Aden & Bahrain & Iran (Persia),group,Asia,,,
Aden & British Colonies (other),group,World,,,
Aden & British Eastern Africa,group,World,,Aden_BritishEastAfrica,
Aden & India,group,Asia,,Aden_India,
Aden & India & Sri Lanka (Ceylon),group,Asia,,,
Aden & Kenya (British East Africa Protectorate),group,Africa,,,
Aden & Mauritius,group,World,,,
Aden & Perim I.,group,Asia,,,
Aden & Straits Settlements,group,Asia,,,
Aden & World (other),group,World,,,
Aden Dependencies,locality,Asia,,,Aden
Aden Protectorate,GPH_entity,Asia,682,,
Adidome,locality,Africa,,,Volta Region
Adriatic Ports,geographical_area,Europe,,,
Afghanistan,GPH_entity,Asia,700,Afghanistan,
Afghanistan & Asian Turkey & Iran (Persia),group,Asia,,Afghanistan_AsianTurkey_IranPersia,
Afghanistan & Baluchistan (Kalat),group,Asia,,Afghanistan_BaluchistanKalat,
Afghanistan & Bhutan & Nepal,group,Asia,,,
Afghanistan & Iran (Persia),group,Asia,,,
Afghanistan & Iran (Persia) & Iraq (Mesopotamia),group,Asia,,,
Africa,geographical_area,Africa,,Africa,
Africa (other),locality,Africa,,Africaother,Africa
Africa (other) & Arabia,group,World,,,
Africa (other) & Asia (other),group,World,,,
Africa (other) & Asia (other) & Japan,group,World,,,
Africa (other) & Western Africa,group,Africa,,WestAfrica_Africaother,
Africa & Australia & People's Republic of China (China),group,World,,,
Africa & Cape Colony (Cape of Good Hope),group,Africa,,Africa_CapeColony,
Africa Coast,geographical_area,Africa,,AfricaCoast,
Africa Coast & Barbary Coast,group,Africa,,,
African Islands,geographical_area,Africa,,,
African Turkey,locality,Africa,,AfricanTurkey,Turkey (Ottoman Empire)
African Turkey & Asian Turkey & European Turkey,group,World,,AfricanTurkey_AsianTurkey_EuropeanTurkey,
Aghwey,locality,Africa,,,Ouidah
Akassa,locality,Africa,,,Nigeria
Akuse,locality,Africa,,,Ghana (Gold Coast)
Al Mukalla,locality,Asia,,AlMukalla,Federation of South Arabia
Alaska,GPH_entity,America,3,Alaska,
Alaska & St. Pierre and Miquelon,group,America,,,
Alaska & United States of America,group,America,,,
Albania,GPH_entity,Europe,339,Albania,
Albania & Andorra,group,Europe,,,
"Albania & Fiume & Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",group,Europe,,Albania_Fiume_YugoslaviaKingdomofSerbsCroatsandSlovenes,
Albania & Kingdom of Serbia & Montenegro,group,Europe,,Albania_KingdomofSerbia_Montenegro,
