source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
CO-IT_1938_I_633-641_1921,Regno d'Italia,Albania,18516,1000,lire,1921,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1922,Regno d'Italia,Albania,16962,1000,lire,1922,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1923,Regno d'Italia,Albania,25803,1000,lire,1923,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1924,Regno d'Italia,Albania,31568,1000,lire,1924,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1925,Regno d'Italia,Albania,42671,1000,lire,1925,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1926,Regno d'Italia,Albania,42452,1000,lire,1926,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1927,Regno d'Italia,Albania,38534,1000,lire,1927,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1928,Regno d'Italia,Albania,37645,1000,lire,1928,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1929,Regno d'Italia,Albania,33876,1000,lire,1929,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1930,Regno d'Italia,Albania,31850,1000,lire,1930,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1931,Regno d'Italia,Albania,17461,1000,lire,1931,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1932,Regno d'Italia,Albania,13769,1000,lire,1932,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1933,Regno d'Italia,Albania,18177,1000,lire,1933,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1934,Regno d'Italia,Albania,15251,1000,lire,1934,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1935,Regno d'Italia,Albania,18239,1000,lire,1935,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1936,Regno d'Italia,Albania,29116,1000,lire,1936,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1937,Regno d'Italia,Albania,62323,1000,lire,1937,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1938,Regno d'Italia,Albania,60837,1000,lire,1938,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1921,Regno d'Italia,Belgio-Lussemburgo,273055,1000,lire,1921,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1922,Regno d'Italia,Belgio-Lussemburgo,303475,1000,lire,1922,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1923,Regno d'Italia,Belgio-Lussemburgo,377050,1000,lire,1923,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1924,Regno d'Italia,Belgio-Lussemburgo,436971,1000,lire,1924,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1925,Regno d'Italia,Belgio-Lussemburgo,644756,1000,lire,1925,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1926,Regno d'Italia,Belgio-Lussemburgo,635276,1000,lire,1926,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1927,Regno d'Italia,Belgio-Lussemburgo,500630,1000,lire,1927,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1928,Regno d'Italia,Belgio-Lussemburgo,647300,1000,lire,1928,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1929,Regno d'Italia,Belgio-Lussemburgo,592317,1000,lire,1929,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1930,Regno d'Italia,Belgio-Lussemburgo,412902,1000,lire,1930,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1931,Regno d'Italia,Belgio-Lussemburgo,266294,1000,lire,1931,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1932,Regno d'Italia,Belgio-Lussemburgo,222462,1000,lire,1932,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1933,Regno d'Italia,Belgio-Lussemburgo,225886,1000,lire,1933,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1934,Regno d'Italia,Belgio-Lussemburgo,229446,1000,lire,1934,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1935,Regno d'Italia,Belgio-Lussemburgo,212167,1000,lire,1935,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1936,Regno d'Italia,Belgio-Lussemburgo,111240,1000,lire,1936,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1937,Regno d'Italia,Belgio-Lussemburgo,192177,1000,lire,1937,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1938,Regno d'Italia,Belgio-Lussemburgo,174575,1000,lire,1938,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1921,Regno d'Italia,Bulgaria,19853,1000,lire,1921,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1922,Regno d'Italia,Bulgaria,40435,1000,lire,1922,Imp,Spe,NS,,,,,
CO-IT_1938_I_633-641_1923,Regno d'Italia,Bulgaria,58840,1000,lire,1923,Imp,Spe,NS,,,,,
