source_filename,nb_flows
AbstractOfReportsOfTradeOfVariousCountries,52
AnnalesDuCommerceExterieurCommerceEtNavigationDesPrincipauxPaysEtrangers_1903A19111912,80
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Abyssinie_Fc3,12
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Algerie_Fc1,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc10,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc13,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc14,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc4,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc7,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc8,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc9,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc1,104
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc10,68
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc11,53
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc12,46
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc17,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc19,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc31,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc32,33
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc35,142
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc4,98
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc5,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc6,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc9,102
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AustralieEtOceanie_Fc1,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AustralieEtOceanie_Fc3,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc10,80
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc13,21
