currency,year,reporting,modified_currency
pesos fuertes,1875,argentine republic,argentine peso fuerte
dollars,1876,argentine republic,argentine gold peso
pesos fuertes,1876,argentine republic,argentine peso fuerte
dollars,1877,argentine republic,argentine gold peso
pesos fuertes,1877,argentine republic,argentine peso fuerte
dollars,1878,argentine republic,argentine gold peso
pesos fuertes,1878,argentine republic,argentine peso fuerte
dollars,1879,argentine republic,argentine gold peso
pesos fuertes,1879,argentine republic,argentine peso fuerte
livres sterling,1880,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1880,argentine republic,argentine gold peso
livres sterling,1881,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1881,argentine republic,argentine gold peso
livres sterling,1882,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1882,argentine republic,argentine gold peso
livres sterling,1883,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1883,argentine republic,argentine gold peso
livres sterling,1884,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1884,argentine republic,argentine gold peso
livres sterling,1885,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1885,argentine republic,argentine gold peso
livres sterling,1886,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1886,argentine republic,argentine gold peso
livres sterling,1887,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1887,argentine republic,argentine gold peso
livres sterling,1888,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1888,argentine republic,argentine gold peso
livres sterling,1889,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1889,argentine republic,argentine gold peso
pesos oro (ou pesos nac.),1889,argentine republic,argentine gold peso
livres sterling,1890,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1890,argentine republic,argentine gold peso
pesos oro (ou pesos nac.),1890,argentine republic,argentine gold peso
livres sterling,1891,argentine republic,sterling pound
pesos nacionales (ou pesos oro),1891,argentine republic,argentine gold peso
pesos oro,1891,argentine republic,argentine gold peso
pesos nacionales (ou pesos oro),1892,argentine republic,argentine gold peso
pesos oro,1892,argentine republic,argentine gold peso
pesos nacionales (ou pesos oro),1893,argentine republic,argentine gold peso
pesos oro,1893,argentine republic,argentine gold peso
pesos nacionales (ou pesos oro),1894,argentine republic,argentine gold peso
pesos oro,1894,argentine republic,argentine gold peso
pesos nacionales (ou pesos oro),1895,argentine republic,argentine gold peso
pesos oro,1895,argentine republic,argentine gold peso
pesos oro,1896,argentine republic,argentine gold peso
pesos oro,1897,argentine republic,argentine gold peso
pesos oro,1898,argentine republic,argentine gold peso
pesos oro,1899,argentine republic,argentine gold peso
pesos oro,1900,argentine republic,argentine gold peso
pesos oro,1901,argentine republic,argentine gold peso
pesos oro,1902,argentine republic,argentine gold peso
pesos oro,1903,argentine republic,argentine gold peso
pesos oro,1904,argentine republic,argentine gold peso
pesos oro,1905,argentine republic,argentine gold peso
pesos oro,1906,argentine republic,argentine gold peso
pesos oro,1907,argentine republic,argentine gold peso
pesos oro,1908,argentine republic,argentine gold peso
pesos oro,1909,argentine republic,argentine gold peso
pesos oro,1910,argentine republic,argentine gold peso
pesos oro,1911,argentine republic,argentine gold peso
pesos oro,1912,argentine republic,argentine gold peso
pesos oro,1913,argentine republic,argentine gold peso
pesos oro,1914,argentine republic,argentine gold peso
pesos oro,1915,argentine republic,argentine gold peso
pesos oro,1916,argentine republic,argentine gold peso
pesos oro,1917,argentine republic,argentine gold peso
pesos oro,1918,argentine republic,argentine gold peso
florins,1891,auh,austria-hungary guilder
sterling,1910,aus,sterling pound
livre sterling,1870,australasia: new south wales,sterling pound
livre sterling,1871,australasia: new south wales,sterling pound
livre sterling,1872,australasia: new south wales,sterling pound
livre sterling,1873,australasia: new south wales,sterling pound
livre sterling,1874,australasia: new south wales,sterling pound
livre sterling,1875,australasia: new south wales,sterling pound
livre sterling,1876,australasia: new south wales,sterling pound
livre sterling,1877,australasia: new south wales,sterling pound
livre sterling,1878,australasia: new south wales,sterling pound
livre sterling,1879,australasia: new south wales,sterling pound
livre sterling,1880,australasia: new south wales,sterling pound
livre sterling,1881,australasia: new south wales,sterling pound
livre sterling,1882,australasia: new south wales,sterling pound
livre sterling,1883,australasia: new south wales,sterling pound
livre sterling,1884,australasia: new south wales,sterling pound
livre sterling,1870,australasia: new zealand,sterling pound
livre sterling,1871,australasia: new zealand,sterling pound
livre sterling,1872,australasia: new zealand,sterling pound
livre sterling,1873,australasia: new zealand,sterling pound
livre sterling,1874,australasia: new zealand,sterling pound
livre sterling,1875,australasia: new zealand,sterling pound
livre sterling,1876,australasia: new zealand,sterling pound
livre sterling,1877,australasia: new zealand,sterling pound
livre sterling,1878,australasia: new zealand,sterling pound
livre sterling,1879,australasia: new zealand,sterling pound
livre sterling,1880,australasia: new zealand,sterling pound
livre sterling,1881,australasia: new zealand,sterling pound
livre sterling,1882,australasia: new zealand,sterling pound
livre sterling,1883,australasia: new zealand,sterling pound
livre sterling,1884,australasia: new zealand,sterling pound
livre sterling,1870,australasia: south australia,sterling pound
livre sterling,1871,australasia: south australia,sterling pound
livre sterling,1872,australasia: south australia,sterling pound
livre sterling,1873,australasia: south australia,sterling pound
livre sterling,1874,australasia: south australia,sterling pound
livre sterling,1875,australasia: south australia,sterling pound
livre sterling,1876,australasia: south australia,sterling pound
livre sterling,1877,australasia: south australia,sterling pound
livre sterling,1878,australasia: south australia,sterling pound
livre sterling,1879,australasia: south australia,sterling pound
livre sterling,1880,australasia: south australia,sterling pound
livre sterling,1881,australasia: south australia,sterling pound
livre sterling,1882,australasia: south australia,sterling pound
livre sterling,1883,australasia: south australia,sterling pound
livre sterling,1884,australasia: south australia,sterling pound
livre sterling,1870,australasia: tasmania,sterling pound
livre sterling,1871,australasia: tasmania,sterling pound
livre sterling,1872,australasia: tasmania,sterling pound
livre sterling,1873,australasia: tasmania,sterling pound
livre sterling,1874,australasia: tasmania,sterling pound
livre sterling,1875,australasia: tasmania,sterling pound
livre sterling,1876,australasia: tasmania,sterling pound
livre sterling,1877,australasia: tasmania,sterling pound
livre sterling,1878,australasia: tasmania,sterling pound
livre sterling,1879,australasia: tasmania,sterling pound
livre sterling,1880,australasia: tasmania,sterling pound
livre sterling,1881,australasia: tasmania,sterling pound
livre sterling,1882,australasia: tasmania,sterling pound
livre sterling,1883,australasia: tasmania,sterling pound
livre sterling,1884,australasia: tasmania,sterling pound
livre sterling,1870,australasia: victoria,sterling pound
livre sterling,1871,australasia: victoria,sterling pound
livre sterling,1872,australasia: victoria,sterling pound
livre sterling,1873,australasia: victoria,sterling pound
livre sterling,1874,australasia: victoria,sterling pound
livre sterling,1875,australasia: victoria,sterling pound
livre sterling,1876,australasia: victoria,sterling pound
livre sterling,1877,australasia: victoria,sterling pound
livre sterling,1878,australasia: victoria,sterling pound
livre sterling,1879,australasia: victoria,sterling pound
livre sterling,1880,australasia: victoria,sterling pound
livre sterling,1881,australasia: victoria,sterling pound
livre sterling,1882,australasia: victoria,sterling pound
livre sterling,1883,australasia: victoria,sterling pound
livre sterling,1884,australasia: victoria,sterling pound
livre sterling,1870,australasia: western australia,sterling pound
livre sterling,1871,australasia: western australia,sterling pound
livre sterling,1872,australasia: western australia,sterling pound
livre sterling,1873,australasia: western australia,sterling pound
livre sterling,1874,australasia: western australia,sterling pound
livre sterling,1875,australasia: western australia,sterling pound
livre sterling,1876,australasia: western australia,sterling pound
livre sterling,1877,australasia: western australia,sterling pound
livre sterling,1878,australasia: western australia,sterling pound
livre sterling,1879,australasia: western australia,sterling pound
livre sterling,1880,australasia: western australia,sterling pound
livre sterling,1881,australasia: western australia,sterling pound
livre sterling,1882,australasia: western australia,sterling pound
livre sterling,1883,australasia: western australia,sterling pound
livre sterling,1884,australasia: western australia,sterling pound
livre sterling,1867,australasie-australie ouest,sterling pound
livre sterling,1870,australasie-australie ouest,sterling pound
livre sterling,1875,australasie-australie ouest,sterling pound
livre sterling,1880,australasie-australie ouest,sterling pound
livre sterling,1890,australasie-australie ouest,sterling pound
livre sterling,1867,australasie-autralie sud,sterling pound
livre sterling,1870,australasie-autralie sud,sterling pound
livre sterling,1875,australasie-autralie sud,sterling pound
livre sterling,1880,australasie-autralie sud,sterling pound
livre sterling,1890,australasie-autralie sud,sterling pound
livre sterling,1867,australasie-nle galles sud,sterling pound
livre sterling,1870,australasie-nle galles sud,sterling pound
livre sterling,1875,australasie-nle galles sud,sterling pound
livre sterling,1880,australasie-nle galles sud,sterling pound
livre sterling,1890,australasie-nle galles sud,sterling pound
livre sterling,1867,australasie-nle-zélande,sterling pound
livre sterling,1870,australasie-nle-zélande,sterling pound
livre sterling,1875,australasie-nle-zélande,sterling pound
livre sterling,1880,australasie-nle-zélande,sterling pound
livre sterling,1890,australasie-nle-zélande,sterling pound
livre sterling,1867,australasie-queensland,sterling pound
livre sterling,1870,australasie-queensland,sterling pound
livre sterling,1875,australasie-queensland,sterling pound
livre sterling,1880,australasie-queensland,sterling pound
livre sterling,1890,australasie-queensland,sterling pound
livre sterling,1867,australasie-tasmanie,sterling pound
livre sterling,1870,australasie-tasmanie,sterling pound
livre sterling,1875,australasie-tasmanie,sterling pound
livre sterling,1880,australasie-tasmanie,sterling pound
livre sterling,1890,australasie-tasmanie,sterling pound
livre sterling,1867,australasie-victoria,sterling pound
livre sterling,1870,australasie-victoria,sterling pound
livre sterling,1875,australasie-victoria,sterling pound
livre sterling,1880,australasie-victoria,sterling pound
livre sterling,1890,australasie-victoria,sterling pound
livre sterling,1900,australie,sterling pound
livre sterling,1910,australie,sterling pound
£,1926,australie,australian pound
£,1927,australie,australian pound
£,1928,australie,australian pound
livres australiennes,1929,australie,australian pound
livres sterling,1929,australie,sterling pound
livres australiennes,1930,australie,australian pound
livres sterling,1930,australie,sterling pound
livres australiennes,1931,australie,australian pound
livres sterling,1931,australie,sterling pound
livres australiennes,1932,australie,australian pound
livres sterling,1932,australie,sterling pound
livres australiennes,1933,australie,australian pound
livres sterling,1933,australie,sterling pound
livres australiennes,1934,australie,australian pound
livres sterling,1934,australie,sterling pound
livres australiennes,1935,australie,australian pound
livres sterling,1935,australie,sterling pound
livres australiennes,1936,australie,australian pound
livres sterling,1936,australie,sterling pound
livres australiennes,1937,australie,australian pound
livres sterling,1937,australie,sterling pound
livres australiennes,1938,australie,australian pound
livres sterling,1938,australie,sterling pound
francs,1851,australie (victoria),french franc
francs,1852,australie (victoria),french franc
francs,1853,australie (victoria),french franc
francs,1854,australie (victoria),french franc
francs,1855,australie (victoria),french franc
francs,1856,australie (victoria),french franc
francs,1857,australie (victoria),french franc
francs,1858,australie (victoria),french franc
francs,1859,australie (victoria),french franc
francs,1860,australie (victoria),french franc
francs,1861,australie (victoria),french franc
francs,1862,australie (victoria),french franc
francs,1863,australie (victoria),french franc
francs,1864,australie (victoria),french franc
livres sterling,1865,australie (victoria),sterling pound
sterling,1890,australie meridionale,sterling pound
francs,1857,australie méridionale,french franc
francs,1858,australie méridionale,french franc
francs,1859,australie méridionale,french franc
francs,1860,australie méridionale,french franc
francs,1861,australie méridionale,french franc
francs,1862,australie méridionale,french franc
francs,1863,australie méridionale,french franc
francs,1864,australie méridionale,french franc
francs,1865,australie méridionale,french franc
francs,1866,australie méridionale,french franc
livres sterling,1866,australie méridionale,sterling pound
francs,1866,australie occidentale,french franc
livre sterling,1844,australie sud,sterling pound
livre sterling,1845,australie sud,sterling pound
livre sterling,1846,australie sud,sterling pound
livre sterling,1847,australie sud,sterling pound
$,1854,austria-hungary,us dollar
$,1855,austria-hungary,us dollar
$,1856,austria-hungary,us dollar
$,1857,austria-hungary,us dollar
$,1858,austria-hungary,us dollar
$,1859,austria-hungary,us dollar
$,1860,austria-hungary,us dollar
$,1861,austria-hungary,us dollar
$,1862,austria-hungary,us dollar
$,1863,austria-hungary,us dollar
$,1864,austria-hungary,us dollar
$,1865,austria-hungary,us dollar
$,1866,austria-hungary,us dollar
$,1867,austria-hungary,us dollar
$,1868,austria-hungary,us dollar
$,1869,austria-hungary,us dollar
$,1870,austria-hungary,us dollar
$,1871,austria-hungary,us dollar
$,1872,austria-hungary,us dollar
$,1873,austria-hungary,us dollar
$,1874,austria-hungary,us dollar
$,1875,austria-hungary,us dollar
$,1876,austria-hungary,us dollar
$,1877,austria-hungary,us dollar
$,1878,austria-hungary,us dollar
$,1879,austria-hungary,us dollar
$,1880,austria-hungary,us dollar
$,1881,austria-hungary,us dollar
$,1882,austria-hungary,us dollar
$,1883,austria-hungary,us dollar
$,1884,austria-hungary,us dollar
$,1885,austria-hungary,us dollar
$,1886,austria-hungary,us dollar
$,1887,austria-hungary,us dollar
$,1888,austria-hungary,us dollar
$,1889,austria-hungary,us dollar
$,1890,austria-hungary,us dollar
kronen,1891,austria-hungary,austria-hungary krone
livres sterling,1891,austria-hungary,sterling pound
kronen,1892,austria-hungary,austria-hungary krone
livres sterling,1892,austria-hungary,sterling pound
kronen,1893,austria-hungary,austria-hungary krone
livres sterling,1893,austria-hungary,sterling pound
kronen,1894,austria-hungary,austria-hungary krone
livres sterling,1894,austria-hungary,sterling pound
kronen,1895,austria-hungary,austria-hungary krone
livres sterling,1895,austria-hungary,sterling pound
kronen,1896,austria-hungary,austria-hungary krone
livres sterling,1896,austria-hungary,sterling pound
kronen,1897,austria-hungary,austria-hungary krone
livres sterling,1897,austria-hungary,sterling pound
kronen,1898,austria-hungary,austria-hungary krone
livres sterling,1898,austria-hungary,sterling pound
kronen,1899,austria-hungary,austria-hungary krone
livres sterling,1899,austria-hungary,sterling pound
kronen,1900,austria-hungary,austria-hungary krone
livres sterling,1900,austria-hungary,sterling pound
kronen,1901,austria-hungary,austria-hungary krone
livre sterling,1901,austria-hungary,sterling pound
livres sterling,1901,austria-hungary,sterling pound
kronen,1902,austria-hungary,austria-hungary krone
livre sterling,1902,austria-hungary,sterling pound
kronen,1903,austria-hungary,austria-hungary krone
livre sterling,1903,austria-hungary,sterling pound
kronen,1904,austria-hungary,austria-hungary krone
livre sterling,1904,austria-hungary,sterling pound
kronen,1905,austria-hungary,austria-hungary krone
livre sterling,1905,austria-hungary,sterling pound
kronen,1906,austria-hungary,austria-hungary krone
livre sterling,1906,austria-hungary,sterling pound
kronen,1907,austria-hungary,austria-hungary krone
livre sterling,1907,austria-hungary,sterling pound
kronen,1908,austria-hungary,austria-hungary krone
livre sterling,1908,austria-hungary,sterling pound
kronen,1909,austria-hungary,austria-hungary krone
livre sterling,1909,austria-hungary,sterling pound
kronen,1910,austria-hungary,austria-hungary krone
livre sterling,1910,austria-hungary,sterling pound
kronen,1911,austria-hungary,austria-hungary krone
livre sterling,1911,austria-hungary,sterling pound
kronen,1912,austria-hungary,austria-hungary krone
livre sterling,1912,austria-hungary,sterling pound
kronen,1913,austria-hungary,austria-hungary krone
francs,1876,autres ports du bengale (balasore),french franc
francs,1877,autres ports du bengale (balasore),french franc
francs,1876,autres ports du bengale (cuttack),french franc
francs,1877,autres ports du bengale (cuttack),french franc
francs,1876,autres ports du bengale (pooree),french franc
francs,1877,autres ports du bengale (pooree),french franc
francs,1841,"autrice-hongrie (trieste, venise et fiume)",french franc
francs,1842,"autrice-hongrie (trieste, venise et fiume)",french franc
francs,1843,"autrice-hongrie (trieste, venise et fiume)",french franc
francs,1844,"autrice-hongrie (trieste, venise et fiume)",french franc
shillings,1926,autriche,austrian schilling
shillings,1927,autriche,austrian schilling
shillings,1928,autriche,austrian schilling
shillings,1929,autriche,austrian schilling
shillings,1930,autriche,austrian schilling
shillings,1931,autriche,austrian schilling
shillings,1932,autriche,austrian schilling
shillings,1933,autriche,austrian schilling
shillings,1934,autriche,austrian schilling
shillings,1935,autriche,austrian schilling
shillings,1936,autriche,austrian schilling
shillings,1937,autriche,austrian schilling
reichsmarks,1938,autriche,german mark
francs,1834,autriche (fiume),french franc
francs,1835,autriche (fiume),french franc
francs,1841,autriche (fiume),french franc
francs,1842,autriche (fiume),french franc
francs,1843,autriche (fiume),french franc
francs,1848,autriche (fiume),french franc
francs,1834,autriche (trieste),french franc
francs,1835,autriche (trieste),french franc
francs,1837,autriche (trieste),french franc
francs,1841,autriche (trieste),french franc
francs,1842,autriche (trieste),french franc
francs,1843,autriche (trieste),french franc
francs,1844,autriche (trieste),french franc
francs,1845,autriche (trieste),french franc
francs,1846,autriche (trieste),french franc
francs,1848,autriche (trieste),french franc
francs,1849,autriche (trieste),french franc
francs,1850,autriche (trieste),french franc
francs,1851,autriche (trieste),french franc
francs,1853,autriche (trieste),french franc
francs,1861,autriche (trieste),french franc
francs,1862,autriche (trieste),french franc
francs,1863,autriche (trieste),french franc
francs,1864,autriche (trieste),french franc
francs,1865,autriche (trieste),french franc
francs,1866,autriche (trieste),french franc
francs,1867,autriche (trieste),french franc
francs,1868,autriche (trieste),french franc
francs,1869,autriche (trieste),french franc
francs,1834,"autriche (trieste, venise, fiume)",french franc
francs,1835,"autriche (trieste, venise, fiume)",french franc
francs,1834,autriche (venise),french franc
francs,1835,autriche (venise),french franc
francs,1842,autriche (venise),french franc
francs,1843,autriche (venise),french franc
francs,1846,autriche (venise),french franc
francs,1848,autriche (venise),french franc
francs,1852,autriche (venise),french franc
francs,1860,autriche (venise),french franc
francs,1844,"autriche (venise, trieste, fiume)",french franc
franc,1838,autriche-hongrie,french franc
francs,1834,autriche-hongrie (fiume et trieste et venise),french franc
francs,1835,autriche-hongrie (fiume et trieste et venise),french franc
francs,1834,autriche-hongrie (fiume),french franc
francs,1835,autriche-hongrie (fiume),french franc
franc,1839,autriche-hongrie (fiume),french franc
francs,1839,autriche-hongrie (fiume),french franc
